author,title,description,url,urlToImage,publishedAt,content,source_id,source_name,short_title,sentiment,entities,topic,day_of_week_published,month_published,time_of_day_published
,Giannis Antetokounmpo trade rumors: Ranking all 29 NBA teams as possible landing spots after Bucks' early exit - CBS Sports,Antetokounmpo trade rumors are louder than ever after another Bucks' first-round exit,https://www.cbssports.com/nba/news/giannis-antetokounmpo-trade-rumors-ranking-all-29-nba-teams-as-possible-landing-spots-after-bucks-early-exit/,https://sportshub.cbsistatic.com/i/r/2025/04/29/b1564922-b8dd-4d40-9aab-520a7cc67339/thumbnail/1200x675/ab9342aefd531311c2b9137d793d934a/giannis-bucks-getty-3.png,2025-04-30 13:37:16+00:00,"How many players in NBA history have ever been traded while playing at a higher level 2024-25 Giannis Antetokounmpo? The obvious answer is the last Milwaukee Bucks MVP to get traded, Kareem Abdul-Jab… [+17970 chars]",,CBS Sports,Giannis Antetokounmpo trade rumors: Ranking all 29 NBA teams as,neutral,"['players', 'NBA', 'Giannis Antetokounmpo', 'Milwaukee Bucks', 'MVP', 'Kareem Abdul-Jab']",Sports,Wednesday,April,12PM-3PM
Kevin Breuninger,"Trump blames Biden 'overhang' after GDP shrinks in first quarter, says growth will 'take a while' - CNBC",President Donald Trump blamed his predecessor and defended his sweeping tariffs after new data showed the U.S. economy contracting last quarter.,https://www.cnbc.com/2025/04/30/trump-gdp-tariffs-biden-overhang.html,https://image.cnbcfm.com/api/v1/image/108138552-17460131482025-04-30t002011z_1142584319_rc2z7eaelo6r_rtrmadp_0_usa-trump-100-days.jpeg?v=1746013251&w=1920&h=1080,2025-04-30 13:20:16+00:00,"President Donald Trump on Wednesday blamed his predecessor and defended his sweeping tariffs after new data showed the U.S. economycontracting last quarter, while warning that his promised ""boom"" wil… [+3031 chars]",,CNBC,"Trump blames Biden 'overhang' after GDP shrinks in first quarter,",negative,"['Donald Trump', 'Wednesday', 'predecessor', 'U.S.', 'last quarter']",Politics,Wednesday,April,12PM-3PM
Ron Dicker,One Of Robert De Niro's Twins Discloses Life-Altering Decision - HuffPost,"""Maybe it's not too late for me,"" Airyn De Niro said.",https://www.huffpost.com/entry/airyn-de-niro-transgender-woman_n_681201b5e4b06e4bab5efa25,https://img.huffingtonpost.com/asset/68120c471a000025009ee0e0.jpeg?cache=lSlh0eGghi&ops=1200_630,2025-04-30 13:01:08+00:00,"Robert De Niros daughter Airyn came out as transgender in a news article Tuesday, saying she began hormone therapy in November. I think part of me is concerned that [my family] will maybe still thin… [+2788 chars]",,HuffPost,One Of Robert De Niro's Twins Discloses Life-Altering Decision -,neutral,"['Robert De Niros', 'daughter', 'Airyn', 'transgender', 'Tuesday', 'November', 'family']",Celebrity,Wednesday,April,12PM-3PM
Jarrell Dillard,"US Firms Add 62,000 Jobs, Smallest Gain Since July in ADP Data - Bloomberg.com","Hiring at US companies moderated in April to the slowest pace in nine months, indicating waning demand for workers amid economic uncertainty.",https://www.bloomberg.com/news/articles/2025-04-30/us-firms-add-62-000-to-payrolls-in-april-adp-data-show,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i5DYL3E5slvU/v1/1200x800.jpg,2025-04-30 12:26:06+00:00,"Hiring at US companies moderated in April to the slowest pace in nine months, indicating waning demand for workers amid economic uncertainty. Private-sector payrolls increased by 62,000 this month, … [+224 chars]",bloomberg,Bloomberg,"US Firms Add 62,000 Jobs, Smallest Gain Since July in",negative,"['US', 'April', 'in nine months', 'workers', 'this month']",Economy,Wednesday,April,12PM-3PM
Trevor Sikkema,2025 NFL Draft: Favorite pick for all 32 NFL teams - PFF,"All 32 NFL teams navigated the treacherous waters of the 2025 NFL Draft, and now we're looking at our favorite picks.",https://www.pff.com/news/draft-2025-nfl-draft-favorite-pick-all-32-nfl-teams,https://media.pff.com/2025/04/Burden-Luther-Alamy-scaled.jpg?w=1200&h=675,2025-04-30 12:00:01+00:00,"<ul><li>The Bears didn't stop adding offensive firepower after Day 1: The team drafted Luther Burden III, the 15th-ranked player on PFF's big board, with the 39th overall pick a great value selection… [+11727 chars]",,Pff.com,2025 NFL Draft: Favorite pick for all 32 NFL teams,positive,"['Bears', 'offensive', 'Luther Burden III', '15th', 'player', 'PFF', '39th']",Sports,Wednesday,April,12PM-3PM
David Pierce,"Raycast brings its super-powerful Mac launcher to iOS, sort of - The Verge","Raycast is a powerful launcher for Mac — and soon, Windows — that now has an app for iOS that can help find information, and chat with AI.",https://www.theverge.com/apple-ios/658265/raycast-ios-launcher,https://platform.theverge.com/wp-content/uploads/sites/2/2025/04/Raycast-iOS.jpeg?quality=90&strip=all&crop=0%2C3.4613147178592%2C100%2C93.077370564282&w=1200,2025-04-30 11:52:00+00:00,"Right now, its mostly an app for notes and AI, but theres evidently much more to come. Right now, its mostly an app for notes and AI, but theres evidently much more to come. Raycast users have been… [+3935 chars]",the-verge,The Verge,"Raycast brings its super-powerful Mac launcher to iOS, sort of",neutral,"['Right', 'now', 'app', 'AI', 'Right', 'now', 'app', 'AI', 'Raycast', 'users']",Technology,Wednesday,April,9AM-12PM
Riazat Butt,Pakistan and India hint at imminent military action over Kashmir. A look at the nuclear rivals - AP News,"A deadly attack on tourists in the disputed Kashmir region last week has spiked tensions between India and Pakistan. India accuses Pakistan of backing the massacre. Pakistan denies it. The nuclear-armed neighbors have downgraded diplomatic ties, threatened to…",https://apnews.com/article/pakistan-india-nuclear-war-explainer-c0f1c500de1ad365984ace1c557cb7dd,https://dims.apnews.com/dims4/default/14bf2e6/2147483647/strip/true/crop/5718x3216+0+298/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F88%2F89%2Ff07241fb861ff1c3cfcef6785dfe%2Fd9c46be067274b1abb086f7695c5f09e,2025-04-30 11:31:00+00:00,"ISLAMABAD, Pakistan (AP) A deadly attack on tourists in the disputed Kashmir region last week has spiked tensions between India and Pakistan. India accuses Pakistan of backing the massacre, a charge … [+4224 chars]",associated-press,Associated Press,Pakistan and India hint at imminent military action over Kashmir.,negative,"['ISLAMABAD', 'Pakistan', 'AP', 'tourists', 'Kashmir', 'last week', 'India', 'Pakistan', 'India', 'Pakistan', 'massacre']",Conflict,Wednesday,April,9AM-12PM
Amelia Lucas,Yum Brands revenue misses as Pizza Hut's same-store sales fall 2% - CNBC,"Yum Brands, the parent of KFC, Pizza Hut and Taco Bell, said sales rose 12% in the first quarter.",https://www.cnbc.com/2025/04/30/yum-brands-yum-q1-2025-earnings.html,https://image.cnbcfm.com/api/v1/image/108015618-1722607260084-gettyimages-1769319639-01-dsc_9750-_3cyrqbha.jpeg?v=1722607370&w=1920&h=1080,2025-04-30 11:23:23+00:00,Yum Brands on Wednesday reported mixed quarterly results as Pizza Hut's same-store sales dropped more than expected. Shares of the company fell less than 1% in premarket trading. Here's what the co… [+1739 chars],,CNBC,Yum Brands revenue misses as Pizza Hut's same-store sales fall,neutral,"['Yum Brands', 'Wednesday', 'quarterly', 'Pizza Hut', 'trading']",Business,Wednesday,April,9AM-12PM
Aaron McDade,"Caterpillar Posts Worse-Than-Expected Q1 Sales, Issues Two Outlook Scenarios - Yahoo Finance",Construction equipment maker Caterpillar on Wednesday reported a bigger first-quarter sales decline than analysts had forecast.,https://www.investopedia.com/caterpillar-stock-sinks-on-declining-sales-profits-11723960,https://s.yimg.com/ny/api/res/1.2/4VezbOr8XnQTkO.aAUmSOg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/investopedia_245/5ed0452aebca5f009579cfb9a18cc266,2025-04-30 11:09:54+00:00,Patrick T. Fallon / AFP via Getty Images Construction equipment maker Caterpillar (CAT) on Wednesday reported a bigger first-quarter sales decline than analysts had forecast. The company posted rev… [+1522 chars],,Investopedia,"Caterpillar Posts Worse-Than-Expected Q1 Sales, Issues Two Outlook Scenarios -",neutral,"['Patrick T. Fallon', 'AFP', 'Getty Images', 'Caterpillar', 'CAT', 'Wednesday', 'first-quarter', 'analysts']",Business,Wednesday,April,9AM-12PM
Vatican News,Cardinals ask faithful to pray for their discernment for new Pope - Vatican News,"The College of Cardinals has requested that all Catholics pray for them, so that they may listen the Holy Spirit as they discern whom to choose as the next Pope.",https://www.vaticannews.va/en/vatican-city/news/2025-04/cardinals-general-congregation-request-prayers-conclave.html,https://www.vaticannews.va/content/dam/vaticannews/agenzie/images/srv/2025/04/30/2025-04-30-7--congregazione-cardinali/1746001328851.JPG/_jcr_content/renditions/cq5dam.thumbnail.cropped.1500.844.jpeg,2025-04-30 11:07:28+00:00,By Vatican News The Holy See released a declaration on Wednesday in which the Cardinals preparing for the upcoming conclave ask the faithful to pray for them. The College of Cardinals gathered in R… [+1218 chars],,Vatican News,Cardinals ask faithful to pray for their discernment for new,neutral,"['Vatican News', 'See', 'Wednesday', 'Cardinals', 'conclave', 'faithful', 'College of Cardinals', 'R']",Vatican,Wednesday,April,9AM-12PM
Tim Hardwick,iPhone 17 Air USB-C Port May Have This Unusual Design Quirk - MacRumors,"Apple is preparing to launch a dramatically thinner iPhone this September, and if recent leaks are anything to go by, the so-called iPhone 17 Air...",https://www.macrumors.com/2025/04/30/iphone-17-air-usb-c-port-unusual-design-quirk/,https://images.macrumors.com/t/_pwQKFUSUMzmxVOonbqWmI23CmI=/1920x/article-new/2025/04/iphone-17-air-iphone-16-pro.jpg,2025-04-30 10:59:10+00:00,"Apple is preparing to launch a dramatically thinner iPhone this September, and if recent leaks are anything to go by, the so-called iPhone 17 Air could boast of the most radical design shifts in rece… [+1862 chars]",,MacRumors,iPhone 17 Air USB-C Port May Have This Unusual Design,neutral,"['Apple', 'iPhone', 'this September', 'iPhone 17 Air', 'design']",Technology,Wednesday,April,9AM-12PM
